EISTHPOST,EIS_INDEXES,Data File(s),31154,D:\Databases\EISTHPOST-INDEXES.ndf
EISTHPOST,EIS_SEARCHRESULT,Data File(s),1024,D:\Databases\EISTHPOST-SEARCHRESULT.ndf
EISTHPOST,EIS_SPATIAL,Data File(s),1777,D:\Databases\EISTHPOST-SPATIAL.ndf
EISTHPOST,EIS_TRIGRAMS,Data File(s),5492,D:\Databases\THPOST-TRIGRAMS.ndf
EISTHPOST,EIS,Data File(s),44281,D:\Databases\EISTHPOST.mdf
EISTHPOST,EIS_log,Log File(s),20480,D:\Databases\EISTHPOST.ldf
EISTHPOST_Load,EISTHPOST_Load,Data File(s),16737,D:\Databases\EISTHPOST_Load.mdf
EISTHPOST_Load,EISTHPOST_Load_log,Log File(s),15618,D:\Databases\EISTHPOST_Load_log.ldf
EISTHPOST-ROUTING,EISTHPOST-ROUTING,Data File(s),17884,D:\Databases\EISTHPOST-ROUTING.mdf
EISTHPOST-ROUTING,EISTHPOST-ROUTING_log,Log File(s),5571,D:\Databases\EISTHPOST-ROUTING_log.ldf
EISTHPOST-ROUTING-UAT,EISTHPOST-ROUTING,Data File(s),109,D:\Databases\EISTHPOST-ROUTING-UAT.mdf
EISTHPOST-ROUTING-UAT,EISTHPOST-ROUTING_log,Log File(s),3,D:\Databases\EISTHPOST-ROUTING-UAT_log.ldf
EISTHPOST-UAT,EIS,Data File(s),44788,D:\Databases\EISTHPOST-UAT.mdf
EISTHPOST-UAT,EIS_INDEXES,Data File(s),32405,D:\Databases\EISTHPOST-INDEXES-UAT.ndf
EISTHPOST-UAT,EIS_SEARCHRESULT,Data File(s),1024,D:\Databases\EISTHPOST-SEARCHRESULT-UAT.ndf
EISTHPOST-UAT,EIS_SPATIAL,Data File(s),1884,D:\Databases\EISTHPOST-SPATIAL-UAT.ndf
EISTHPOST-UAT,EIS_TRIGRAMS,Data File(s),8448,D:\Databases\THPOST-TRIGRAMS-UAT.ndf
EISTHPOST-UAT,EIS_log,Log File(s),5504,D:\Databases\EISTHPOST-UAT.ldf
Layer,Layer2014_V3,Data File(s),27478,D:\Databases\Final_20161011_Layer2016Q2_Here2016_V3.mdf
Layer,Layer2014_V3_log,Log File(s),1,D:\Databases\Final_20161011_Layer2016Q2_Here2016_V3_log.ldf
ManageDataWareHouse,ManageDataWareHouse,Data File(s),1300,D:\Databases\ManageDataWareHouse.mdf
ManageDataWareHouse,ManageDataWareHouse_log,Log File(s),180,D:\Databases\ManageDataWareHouse_log.ldf
MAPv4,MAP,Data File(s),187,D:\Databases\MAPv4.mdf
MAPv4,MAP_log,Log File(s),3,D:\Databases\MAPv4_log.ldf
master,master,Data File(s),4,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\master.mdf
master,mastlog,Log File(s),1,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\mastlog.ldf
model,modeldev,Data File(s),4,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\model.mdf
model,modellog,Log File(s),1,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\modellog.ldf
msdb,MSDBData,Data File(s),1644,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\MSDBData.mdf
msdb,MSDBLog,Log File(s),19,D:\Databases\MSSQL11.MSSQLSERVER\MSSQL\DATA\MSDBLog.ldf
NHMAP-LM,NHMAP-LM,Data File(s),5,D:\Databases\NHMAP-LM.mdf
NHMAP-LM,NHMAP-LM_log,Log File(s),2,D:\Databases\NHMAP-LM_log.ldf
RefStat,Stat,Data File(s),10,D:\Databases\RefStat.mdf
RefStat,Stat_log,Log File(s),19,D:\Databases\RefStat.ldf
SearchResult,SearchResult,Data File(s),2144,D:\Databases\SearchResult.mdf
SearchResult,SearchResult_log,Log File(s),1966,D:\Databases\SearchResult_log.ldf
tempdb,tempdev,Data File(s),512,D:\Temp\tempdb.mdf
tempdb,tempdev2,Data File(s),512,D:\Temp\tempdev2.mdf
tempdb,tempdev3,Data File(s),512,D:\Temp\tempdev3.mdf
tempdb,tempdev4,Data File(s),512,D:\Temp\tempdev4.mdf
tempdb,tempdev5,Data File(s),512,D:\Temp\tempdev5.mdf
tempdb,tempdev6,Data File(s),512,D:\Temp\tempdev6.mdf
tempdb,tempdev7,Data File(s),512,D:\Temp\tempdev7.mdf
tempdb,tempdev8,Data File(s),512,D:\Temp\tempdev8.mdf
tempdb,templog,Log File(s),512,D:\Temp\tempdb.ldf
