ConfigDB,ConfigDB,Data File(s),85592,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\ConfigDB.mdf
ConfigDB,ConfigDB_log,Log File(s),43976,N:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\Data\ConfigDB_log.ldf
HEATSMDB,HEATSMDB,Data File(s),56911,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\HEATSMDB.mdf
HEATSMDB,HEATSMDB_log,Log File(s),288360,N:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\Data\HEATSMDB_log.ldf
master,master,Data File(s),5,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\master.mdf
master,mastlog,Log File(s),2,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\mastlog.ldf
MetricsDB,MetricsDB,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\MetricsDB.mdf
MetricsDB,MetricsDB_log,Log File(s),1288,N:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\Data\MetricsDB_log.ldf
model,modeldev,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\model.mdf
model,modellog,Log File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\modellog.ldf
msdb,MSDBData,Data File(s),18,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\MSDBData.mdf
msdb,MSDBLog,Log File(s),5,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\MSDBLog.ldf
tempdb,tempdev,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb.mdf
tempdb,temp2,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_2.ndf
tempdb,temp3,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_3.ndf
tempdb,temp4,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_4.ndf
tempdb,temp5,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_5.ndf
tempdb,temp6,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_6.ndf
tempdb,temp7,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_7.ndf
tempdb,temp8,Data File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\tempdb_mssql_8.ndf
tempdb,templog,Log File(s),8,O:\Program Files\Microsoft SQL Server\MSSQL16.ITSM\MSSQL\DATA\templog.ldf
